gvkey	datadate	fyear	indfmt	consol	popsrc	datafmt	tic	conm	curcd	aco	act	aqc	capx	ceq	che	cogs	cshfd	csho	cshpri	dlc	dltt	dp	epsfi	epsfx	gdwlip	ib	ibadj	invt	lct	mib	niadj	oiadp	oibdp	pstk	recd	rect	rectr	sale	seq	txt	wdp	xint	xpp	xsga	exchg	cik	costat	prcc_f	loc	sic
001045	20001231	2000	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	886.0000	5179.0000		3678.0000	7176.0000	2233.0000	17120.0000	162.0000	152.0630	150.0000	796.0000	5474.0000	1202.0000	5.0300	4.8100		779.0000	779.0000	757.0000	6990.0000		813.0000	1381.0000	2583.0000	0.0000	27.0000	1303.0000	1303.0000	19703.0000	7176.0000	508.0000		467.0000	0.0000		14	0000006201	A	39.1875	USA	4512
001045	20011231	2001	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	1312.0000	6540.0000	742.0000	3640.0000	5373.0000	2992.0000	19419.0000	154.0000	154.4850	154.0000	772.0000	9834.0000	1404.0000	-11.4300	-11.4300		-1762.0000	-1762.0000	822.0000	7512.0000	0.0000	-1762.0000	-1860.0000	-456.0000	0.0000	52.0000	1414.0000	1414.0000	18963.0000	5373.0000	-994.0000		538.0000	0.0000		14	0000006201	A	22.3000	USA	4512
001045	20021231	2002	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	96.0000	4937.0000	0.0000	1881.0000	957.0000	2733.0000	18555.0000	156.0000	156.0890	156.0000	868.0000	12310.0000	1366.0000	-22.5700	-16.2200		-2523.0000	-2523.0000	627.0000	7240.0000		-3511.0000	-2622.0000	-1256.0000	0.0000	66.0000	1481.0000	858.0000	17299.0000	957.0000	-1337.0000		685.0000	0.0000		14	0000006201	A	6.6000	USA	4512
001045	20031231	2003	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	237.0000	4682.0000	0.0000	680.0000	46.0000	3133.0000	14430.0000	158.0000	159.5820	158.0000	804.0000	13126.0000	1377.0000	-7.7600	-7.7600		-1228.0000	-1228.0000	516.0000	6559.0000		-1228.0000	-795.0000	582.0000	0.0000	62.0000	796.0000	796.0000	17440.0000	46.0000	-80.0000		703.0000	0.0000	2428.0000	14	0000006201	A	12.9500	USA	4512
001045	20041231	2004	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	240.0000	4971.0000	0.0000	1027.0000	-581.0000	3407.0000	15120.0000	161.0000	161.1560	161.0000	806.0000	13524.0000	1292.0000	-4.7400	-4.7400		-761.0000	-761.0000	488.0000	7018.0000		-761.0000	-133.0000	1159.0000	0.0000	59.0000	836.0000	836.0000	18645.0000	-581.0000	0.0000		871.0000	0.0000	2366.0000	14	0000006201	A	10.9500	USA	4512
001045	20051231	2005	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	334.0000	6164.0000	0.0000	681.0000	-1478.0000	4324.0000	16832.0000	165.0000	182.7320	165.0000	1239.0000	13456.0000	1164.0000	-5.2100	-5.2100		-861.0000	-861.0000	515.0000	8320.0000		-861.0000	102.0000	1266.0000	0.0000	60.0000	991.0000	991.0000	20712.0000	-1478.0000	0.0000		957.0000	0.0000	2614.0000	14	0000006201	A	22.2300	USA	4512
001045	20061231	2006	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	225.0000	6902.0000	0.0000	530.0000	-606.0000	5183.0000	17659.0000	264.0000	222.2240	205.0000	1349.0000	12041.0000	1157.0000	0.9800	0.9800		231.0000	231.0000	506.0000	8505.0000		231.0000	1060.0000	2217.0000	0.0000	45.0000	988.0000	988.0000	22563.0000	-606.0000	0.0000		1030.0000	0.0000	2687.0000	14	0000006201	A	30.2300	USA	4512
001045	20071231	2007	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	638.0000	7229.0000	0.0000	714.0000	2657.0000	4963.0000	18026.0000	299.0000	249.3980	245.0000	1049.0000	10093.0000	1064.0000	1.7800	1.7800		504.0000	504.0000	601.0000	8483.0000		504.0000	1029.0000	2093.0000	0.0000	41.0000	1027.0000	1027.0000	22896.0000	2657.0000	0.0000		914.0000	0.0000	2777.0000	14	0000006201	A	14.0300	USA	4512
001045	20081231	2008	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	1033.0000	5935.0000	0.0000	876.0000	-2935.0000	3566.0000	20232.0000	259.0000	278.9490	259.0000	1956.0000	9001.0000	1083.0000	-7.9800	-7.9800		-2071.0000	-2071.0000	525.0000	9374.0000		-2071.0000	-573.0000	510.0000	0.0000	49.0000	811.0000	811.0000	23766.0000	-2935.0000	0.0000	-1122.0000	756.0000	0.0000	3024.0000	14	0000006201	A	10.6700	USA	4512
001045	20091231	2009	INDL	C	D	STD	AAL	AMERICAN AIRLINES GROUP INC	USD	458.0000	6642.0000	0.0000	1521.0000	-3489.0000	4859.0000	16935.0000	294.0000	332.6240	294.0000	1114.0000	10583.0000	1007.0000	-4.9900	-4.9900		-1468.0000	-1468.0000	557.0000	7728.0000		-1468.0000	-745.0000	262.0000	0.0000	58.0000	768.0000	768.0000	19917.0000	-3489.0000	-284.0000	-88.0000	744.0000	0.0000	2720.0000	14	0000006201	A	7.7300	USA	4512
