letter_type,date_trans,cik,Name,Business
UPLOAD,2005-11-02,894081,Air Transport Services Group Inc,OH
UPLOAD,2005-11-16,319687,United Airlines Inc,IL
CORRESP,2005-11-21,319687,United Airlines Inc,IL
CORRESP,2005-11-22,894081,Air Transport Services Group Inc,OH
UPLOAD,2005-11-22,27904,Delta Air Lines Inc,GA
UPLOAD,2005-12-01,319687,United Airlines Inc,IL
UPLOAD,2005-12-02,894081,Air Transport Services Group Inc,OH
CORRESP,2005-12-07,27904,Delta Air Lines Inc,GA
UPLOAD,2005-12-14,27904,Delta Air Lines Inc,GA
CORRESP,2005-12-20,27904,Delta Air Lines Inc,GA
UPLOAD,2005-12-22,27904,Delta Air Lines Inc,GA
UPLOAD,2006-01-24,810332,Mesa Air Group Inc,AZ
CORRESP,2006-01-27,810332,Mesa Air Group Inc,AZ
UPLOAD,2006-02-13,810332,Mesa Air Group Inc,AZ
UPLOAD,2006-03-10,948845,Midwest Air Group Inc,WI
CORRESP,2006-03-31,948845,Midwest Air Group Inc,WI
UPLOAD,2006-04-18,948845,Midwest Air Group Inc,WI
CORRESP,2006-05-05,948845,Midwest Air Group Inc,WI
CORRESP,2006-05-19,1158463,Jetblue Airways Corp,NY
CORRESP,2006-05-31,6201,American Airlines Group Inc,TX
CORRESP,2006-05-31,1159154,Republic Airways Holdings Inc,IN
CORRESP,2006-06-06,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2006-06-07,1159154,Republic Airways Holdings Inc,IN
UPLOAD,2006-06-07,948846,Airtran Holdings Inc,FL
UPLOAD,2006-06-22,1172222,Hawaiian Holdings Inc,HI
CORRESP,2006-06-23,948846,Airtran Holdings Inc,FL
UPLOAD,2006-06-29,948846,Airtran Holdings Inc,FL
CORRESP,2006-07-05,1172222,Hawaiian Holdings Inc,HI
CORRESP,2006-07-17,6201,American Airlines Group Inc,TX
UPLOAD,2006-07-20,1166291,Pinnacle Airlines Corp,TN
CORRESP,2006-08-04,1158463,Jetblue Airways Corp,NY
UPLOAD,2006-08-10,6201,American Airlines Group Inc,TX
CORRESP,2006-08-11,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2006-08-14,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2006-08-21,1166291,Pinnacle Airlines Corp,TN
CORRESP,2006-09-01,948846,Airtran Holdings Inc,FL
UPLOAD,2006-09-05,948846,Airtran Holdings Inc,FL
CORRESP,2006-09-15,1166291,Pinnacle Airlines Corp,TN
CORRESP,2006-09-26,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2006-10-03,1172222,Hawaiian Holdings Inc,HI
CORRESP,2006-10-10,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2006-11-13,1158463,Jetblue Airways Corp,NY
UPLOAD,2006-11-15,1159154,Republic Airways Holdings Inc,IN
CORRESP,2006-12-29,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2007-01-30,1172222,Hawaiian Holdings Inc,HI
CORRESP,2007-01-30,27904,Delta Air Lines Inc,GA
UPLOAD,2007-02-13,1351548,Frontier Airlines Holdings Inc,CO
CORRESP,2007-02-13,27904,Delta Air Lines Inc,GA
CORRESP,2007-02-27,1172222,Hawaiian Holdings Inc,HI
CORRESP,2007-02-27,1351548,Frontier Airlines Holdings Inc,CO
CORRESP,2007-03-01,27904,Delta Air Lines Inc,GA
UPLOAD,2007-03-07,1351548,Frontier Airlines Holdings Inc,CO
UPLOAD,2007-03-13,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2007-03-20,6201,American Airlines Group Inc,TX
UPLOAD,2007-03-20,4515,,
UPLOAD,2007-04-02,100517,United Continental Holdings Inc,IL
CORRESP,2007-04-04,6201,American Airlines Group Inc,TX
CORRESP,2007-04-12,100517,United Continental Holdings Inc,IL
CORRESP,2007-04-17,100517,United Continental Holdings Inc,IL
UPLOAD,2007-04-17,1058033,Northwest Airlines Corp,MN
UPLOAD,2007-04-17,6201,American Airlines Group Inc,TX
UPLOAD,2007-04-17,4515,,
CORRESP,2007-04-19,4515,,
UPLOAD,2007-04-20,100517,United Continental Holdings Inc,IL
CORRESP,2007-04-27,1058033,Northwest Airlines Corp,MN
UPLOAD,2007-06-07,92380,Southwest Airlines Co,TX
CORRESP,2007-06-20,92380,Southwest Airlines Co,TX
UPLOAD,2007-07-11,92380,Southwest Airlines Co,TX
UPLOAD,2007-07-26,1172222,Hawaiian Holdings Inc,HI
CORRESP,2007-08-09,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2007-08-21,1172222,Hawaiian Holdings Inc,HI
CORRESP,2007-09-04,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2007-09-06,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2007-09-18,766421,Alaska Air Group Inc,WA
UPLOAD,2007-09-18,3202,,
CORRESP,2007-09-20,3202,,
CORRESP,2007-09-20,766421,Alaska Air Group Inc,WA
CORRESP,2007-10-16,3202,,
CORRESP,2007-10-16,766421,Alaska Air Group Inc,WA
UPLOAD,2007-10-23,766421,Alaska Air Group Inc,WA
CORRESP,2007-11-05,3202,,
CORRESP,2007-11-05,766421,Alaska Air Group Inc,WA
UPLOAD,2007-11-08,766421,Alaska Air Group Inc,WA
UPLOAD,2007-11-15,3202,,
UPLOAD,2008-02-25,948846,Airtran Holdings Inc,FL
CORRESP,2008-03-07,948846,Airtran Holdings Inc,FL
UPLOAD,2008-03-07,319687,United Airlines Inc,IL
UPLOAD,2008-03-11,948846,Airtran Holdings Inc,FL
CORRESP,2008-03-13,948846,Airtran Holdings Inc,FL
UPLOAD,2008-03-17,948846,Airtran Holdings Inc,FL
UPLOAD,2008-04-07,6201,American Airlines Group Inc,TX
UPLOAD,2008-04-07,4515,,
UPLOAD,2008-04-16,793733,Skywest Inc,UT
CORRESP,2008-04-16,319687,United Airlines Inc,IL
UPLOAD,2008-05-01,1166291,Pinnacle Airlines Corp,TN
CORRESP,2008-05-07,793733,Skywest Inc,UT
UPLOAD,2008-05-21,319687,United Airlines Inc,IL
CORRESP,2008-05-22,6201,American Airlines Group Inc,TX
UPLOAD,2008-05-23,6201,American Airlines Group Inc,TX
CORRESP,2008-05-23,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2008-05-23,4515,,
CORRESP,2008-05-27,4515,,
UPLOAD,2008-06-05,1166291,Pinnacle Airlines Corp,TN
CORRESP,2008-06-24,793733,Skywest Inc,UT
UPLOAD,2008-07-02,793733,Skywest Inc,UT
UPLOAD,2008-07-03,701345,US Airways Group Inc,AZ
CORRESP,2008-07-09,1166291,Pinnacle Airlines Corp,TN
CORRESP,2008-07-14,701345,US Airways Group Inc,AZ
UPLOAD,2008-07-28,1166291,Pinnacle Airlines Corp,TN
UPLOAD,2008-07-30,1362468,Allegiant Travel Co,NV
UPLOAD,2008-08-01,701345,US Airways Group Inc,AZ
UPLOAD,2008-08-20,100517,United Continental Holdings Inc,IL
CORRESP,2008-08-29,101001,,
CORRESP,2008-08-29,100517,United Continental Holdings Inc,IL
UPLOAD,2008-09-04,1144331,Expressjet Holdings Inc,TX
UPLOAD,2008-09-12,100517,United Continental Holdings Inc,IL
CORRESP,2008-09-23,1144331,Expressjet Holdings Inc,TX
CORRESP,2008-09-24,1362468,Allegiant Travel Co,NV
CORRESP,2008-09-26,100517,United Continental Holdings Inc,IL
CORRESP,2008-09-26,101001,,
UPLOAD,2008-10-06,1362468,Allegiant Travel Co,NV
UPLOAD,2008-10-09,1144331,Expressjet Holdings Inc,TX
UPLOAD,2008-10-10,100517,United Continental Holdings Inc,IL
CORRESP,2008-10-21,101001,,
CORRESP,2008-10-21,100517,United Continental Holdings Inc,IL
UPLOAD,2008-11-07,100517,United Continental Holdings Inc,IL
CORRESP,2008-12-01,1172222,Hawaiian Holdings Inc,HI
CORRESP,2009-01-27,1172222,Hawaiian Holdings Inc,HI
CORRESP,2009-03-20,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2009-04-06,1172222,Hawaiian Holdings Inc,HI
CORRESP,2009-04-20,1172222,Hawaiian Holdings Inc,HI
UPLOAD,2009-05-07,27904,Delta Air Lines Inc,GA
UPLOAD,2009-05-08,6201,American Airlines Group Inc,TX
UPLOAD,2009-05-08,4515,,
CORRESP,2009-05-14,27904,Delta Air Lines Inc,GA
UPLOAD,2009-05-20,1158463,Jetblue Airways Corp,NY
CORRESP,2009-05-21,6201,American Airlines Group Inc,TX
UPLOAD,2009-06-02,4515,,
UPLOAD,2009-06-02,6201,American Airlines Group Inc,TX
CORRESP,2009-06-03,27904,Delta Air Lines Inc,GA
CORRESP,2009-06-04,1158463,Jetblue Airways Corp,NY
CORRESP,2009-06-16,766421,Alaska Air Group Inc,WA
UPLOAD,2009-06-23,27904,Delta Air Lines Inc,GA
CORRESP,2009-07-01,27904,Delta Air Lines Inc,GA
UPLOAD,2009-07-09,27904,Delta Air Lines Inc,GA
UPLOAD,2009-07-09,766421,Alaska Air Group Inc,WA
UPLOAD,2009-07-13,1158463,Jetblue Airways Corp,NY
CORRESP,2009-07-13,766421,Alaska Air Group Inc,WA
CORRESP,2009-07-27,1158463,Jetblue Airways Corp,NY
UPLOAD,2009-08-06,766421,Alaska Air Group Inc,WA
UPLOAD,2009-08-22,1158463,Jetblue Airways Corp,NY
UPLOAD,2009-09-01,92380,Southwest Airlines Co,TX
CORRESPNA,2009-09-03,914397,Great Lakes Aviation LTD,WY
CORRESP,2009-09-04,92380,Southwest Airlines Co,TX
UPLOAD,2009-10-02,1159154,Republic Airways Holdings Inc,IN
